#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-9A532BCE9D88087-340B8780396A9BEF
#datatype	hitsConcise Results
#status	0
#Start time	2019-01-10T03:39:48	Run time	0:00:00:21
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#40 - WP_003770538.1	specific	237894	1	541	0	1093.01	PRK15064	PRK15064	 - 	cl26602
Q#41 - WP_003774339.1	specific	236427	1	483	0	965.409	PRK09246	PRK09246	 - 	cl28298
Q#42 - WP_003773723.1	specific	235603	1	477	8.73747e-161	468.146	PRK05777	PRK05777	 - 	cl27709
Q#43 - WP_003773700.1	superfamily	328749	61	308	4.30829e-82	254.22	cl21491	Transpeptidase superfamily	 - 	 - 
Q#44 - WP_003769722.1	superfamily	332412	4	319	1.08345e-137	397.89	cl27591	Dus superfamily	 - 	 - 
Q#45 - WP_003773976.1	specific	235428	1	366	0	595.538	PRK05355	PRK05355	 - 	cl18945
Q#46 - WP_003775007.1	specific	225496	1	205	9.08609e-77	233.451	COG2945	COG2945	 - 	cl21494
Q#47 - WP_003771664.1	specific	235419	1	272	8.63113e-123	355.178	PRK05339	PRK05339	 - 	cl00780
Q#48 - WP_003769404.1	specific	235503	18	756	0	1119.03	PRK05561	PRK05561	 - 	cl27672
Q#49 - WP_041961529.1	specific	225377	74	444	1.82591e-124	370.131	COG2821	MltA	 - 	cl08398
Q#50 - WP_003772071.1	specific	179366	1	329	0	626.913	PRK02102	PRK02102	 - 	cl27385
Q#51 - WP_003773832.1	specific	235839	1	369	0	788.638	PRK06598	PRK06598	 - 	cl28362
Q#52 - WP_003774962.1	specific	236418	1	469	0	713.845	PRK09225	PRK09225	 - 	cl25955
Q#53 - WP_003772343.1	specific	223362	1	431	5.744e-167	480.221	COG0285	FolC	 - 	cl27336
Q#54 - WP_003775347.1	specific	235571	1	394	0	664.997	PRK05704	PRK05704	 - 	cl27351
Q#55 - WP_003773628.1	specific	225142	4	401	6.44298e-116	349.22	COG2233	UraA	 - 	cl23746
Q#56 - WP_041961484.1	specific	130274	2	287	0	586.667	TIGR01207	rmlA	 - 	cl28239
Q#57 - WP_040665578.1	superfamily	322182	1	178	2.08223e-65	202.127	cl03075	GrpE superfamily	 - 	 - 
Q#58 - WP_003774523.1	specific	234996	3	255	0	502.672	PRK02083	PRK02083	 - 	cl21457
Q#59 - WP_041961461.1	specific	223390	11	288	2.42293e-115	336.87	COG0313	RsmI	 - 	cl00304
Q#60 - WP_003774327.1	specific	223769	8	293	4.91306e-13	67.5841	COG0697	RhaT	 - 	cl28280
Q#61 - WP_003770088.1	superfamily	333001	3	371	9.33445e-175	495.51	cl28181	AAA superfamily	 - 	 - 
Q#62 - WP_003772320.1	specific	235332	6	362	0	641.494	PRK05031	PRK05031	 - 	cl27845
Q#63 - WP_003774251.1	specific	234616	6	199	1.08136e-93	275.432	PRK00076	recR	 - 	cl27459
Q#64 - WP_003740869.1	specific	234614	1	521	0	1078.14	PRK00074	guaA	 - 	cl27749
Q#65 - WP_040666367.1	specific	234737	1	401	0	569.705	PRK00366	ispG	 - 	cl27133
Q#66 - WP_003772551.1	specific	235404	1	205	1.52882e-106	308.558	PRK05319	rplD	 - 	cl00325
Q#67 - WP_004565735.1	specific	180009	3	452	0	825.185	PRK05313	PRK05313	 - 	cl09939
Q#68 - WP_003770886.1	superfamily	332953	1	273	2.88088e-84	257.616	cl28132	HTH_6 superfamily	 - 	 - 
Q#69 - WP_003775338.1	specific	235652	5	235	8.68413e-161	448.474	PRK05950	sdhB	 - 	cl28420
Q#70 - WP_041961416.1	specific	236585	1	350	0	528.1	PRK09604	PRK09604	 - 	cl27639
Q#71 - WP_003774994.1	superfamily	332156	3	458	0	760.529	cl27335	Mur_ligase_C superfamily	 - 	 - 
Q#72 - WP_003771512.1	specific	235035	11	351	0	527.379	PRK02406	PRK02406	 - 	cl25410
Q#73 - WP_003771162.1	specific	235691	4	195	1.82966e-93	274.478	PRK06074	PRK06074	 - 	cl19197
Q#74 - WP_003772290.1	specific	234654	7	171	1.53305e-83	247.41	PRK00131	aroK	 - 	cl28515
Q#75 - WP_003769539.1	specific	235582	1	945	0	1512.71	PRK05729	valS	 - 	cl26128
Q#76 - WP_041961492.1	superfamily	294246	7	306	4.18461e-167	470.31	cl00342	Trp-synth-beta_II superfamily	 - 	 - 
Q#77 - WP_004565727.1	specific	237285	6	262	6.03562e-138	392.934	PRK13111	trpA	 - 	cl21457
Q#78 - WP_003772651.1	specific	224113	3	254	1.80905e-80	246.277	COG1192	BcsQ	 - 	cl27521
Q#79 - WP_003772444.1	specific	225148	46	480	2.65473e-161	468.676	COG2239	MgtE	 - 	cl27503
Q#80 - WP_041961537.1	specific	235588	1	930	0	1595.52	PRK05743	ileS	 - 	cl26128
Q#81 - WP_040666529.1	specific	129116	3	127	2.11436e-64	195.206	TIGR00004	TIGR00004	 - 	cl10015
Q#82 - WP_041961383.1	superfamily	332499	1	561	0	879.772	cl27678	AMP-binding superfamily	 - 	 - 
Q#83 - WP_040666028.1	specific	211327	64	226	1.15787e-77	234.721	cd02553	PseudoU_synth_RsuA	 - 	cl00130
Q#83 - WP_040666028.1	superfamily	333314	1	115	7.9975e-07	48.4609	cl28494	RluA superfamily	C	 - 
Q#84 - WP_003774459.1	specific	236872	2	563	0	1191.57	PRK11183	PRK11183	 - 	cl26647
Q#85 - WP_003773726.1	specific	235622	6	499	0	622.993	PRK05846	PRK05846	 - 	cl27709
Q#86 - WP_003770151.1	specific	223326	6	492	7.40753e-157	459.466	COG0248	GppA	 - 	cl25775
Q#87 - WP_040665762.1	specific	187604	1	245	1.68349e-138	393.184	cd05346	SDR_c5	 - 	cl25409
Q#88 - WP_041961405.1	specific	234904	1	431	0	795.789	PRK01117	PRK01117	 - 	cl21455
Q#89 - WP_041961549.1	specific	224376	20	407	4.67945e-134	393.886	COG1459	PulF	 - 	cl28336
Q#90 - WP_003774799.1	superfamily	320890	1	204	6.66211e-101	294.472	cl00305	Sua5_yciO_yrdC superfamily	 - 	 - 
Q#91 - WP_040665785.1	specific	237259	5	921	0	1589.73	PRK12904	PRK12904	 - 	cl26882
Q#91 - WP_040665785.1	superfamily	332178	864	918	3.65322e-05	44.2208	cl27357	SEC-C superfamily	N	 - 
Q#92 - WP_003770064.1	specific	143500	3	351	0	540.546	cd06827	PLPDE_III_AR_proteobact	 - 	cl00261
Q#93 - WP_003774568.1	superfamily	332546	16	429	0	623.223	cl27725	EPSP_synthase superfamily	C	 - 
Q#94 - WP_003771088.1	superfamily	321296	5	97	1.21971e-44	142.8	cl00999	YCII superfamily	 - 	 - 
Q#95 - WP_003770317.1	specific	236435	4	346	0	670.339	PRK09261	PRK09261	 - 	cl17225
Q#96 - WP_003775458.1	specific	234899	1	273	1.01585e-166	466.866	PRK01103	PRK01103	 - 	cl26942
Q#97 - WP_003773945.1	specific	223408	1	307	1.4262e-124	362.76	COG0331	FabD	 - 	cl08282
Q#98 - WP_003774884.1	superfamily	327403	1	289	1.23431e-164	462.799	cl17185	LPLAT superfamily	 - 	 - 
Q#99 - WP_003772334.1	superfamily	320915	84	443	0	622.754	cl00336	DHBP_synthase superfamily	 - 	 - 
Q#100 - WP_003772587.1	specific	235358	1	120	5.45776e-77	226.499	PRK05179	rpsM	 - 	cl00331
Q#101 - WP_040666259.1	specific	179005	5	106	3.31041e-49	154.93	PRK00400	hisE	 - 	cl16941
Q#102 - WP_041961308.1	superfamily	332499	3	430	5.20531e-125	392.792	cl27678	AMP-binding superfamily	C	 - 
Q#103 - WP_041961470.1	specific	234956	1	433	7.93047e-159	459.628	PRK01490	tig	 - 	cl27006
Q#104 - WP_040665894.1	specific	273657	19	279	1.52047e-107	316.506	TIGR01496	DHPS	 - 	cl00219
Q#105 - WP_041961240.1	specific	234794	19	1385	0	2383.99	PRK00566	PRK00566	 - 	cl25372
Q#106 - WP_041961286.1	specific	212508	5	234	4.58307e-118	339.925	cd11649	RsmI_like	 - 	cl00304
Q#107 - WP_003775107.1	specific	319796	4	204	8.06407e-61	192.136	cd02612	HAD_PGPPase	 - 	cl21460
Q#108 - WP_003775239.1	specific	224055	22	607	2.04861e-160	475.765	COG1132	MdlB	 - 	cl26602
Q#109 - WP_040665662.1	superfamily	327541	7	443	0	532.02	cl19356	PmbA_TldD superfamily	 - 	 - 
Q#110 - WP_003772004.1	specific	183365	1	161	6.60058e-92	267.712	PRK11895	ilvH	 - 	cl26541
Q#111 - WP_003770668.1	specific	235437	1	543	0	1077.35	PRK05380	pyrG	 - 	cl26857
Q#112 - WP_003770063.1	specific	237265	5	377	0	731.117	PRK13009	PRK13009	 - 	cl27543
Q#113 - WP_041961319.1	superfamily	332908	317	796	0	648.298	cl28087	FtsK superfamily	N	 - 
Q#113 - WP_041961319.1	specific	316051	55	229	2.27932e-43	156.199	pfam13491	FtsK_4TM	 - 	cl16286
Q#114 - WP_003770086.1	superfamily	320968	8	321	2.27571e-105	314.726	cl00427	TM_PBP2 superfamily	 - 	 - 
Q#115 - WP_040666202.1	specific	273437	13	182	6.86763e-88	259.132	TIGR01090	apt	 - 	cl00309
Q#116 - WP_003771771.1	specific	235534	1	190	2.15499e-64	200.044	PRK05618	PRK05618	 - 	cl00787
Q#117 - WP_040665719.1	specific	275199	8	245	1.68156e-152	428.231	TIGR04406	LPS_export_lptB	 - 	cl28181
Q#118 - WP_003773298.1	specific	236780	1	439	0	742.281	PRK10867	PRK10867	 - 	cl27330
Q#119 - WP_041961482.1	specific	236137	1	823	0	1058.57	PRK07956	ligA	 - 	cl27300
Q#120 - WP_004565737.1	specific	178923	1	90	2.22653e-36	120.685	PRK00194	PRK00194	 - 	cl09141
Q#121 - WP_003772640.1	superfamily	332450	1	226	1.34573e-93	277.477	cl27629	Transgly superfamily	 - 	 - 
Q#122 - WP_003771575.1	specific	224100	12	258	6.27601e-110	322.325	COG1179	TcdA	 - 	cl25380
Q#123 - WP_003772478.1	specific	234645	1	193	3.66427e-90	265.849	PRK00116	ruvA	 - 	cl27580
Q#124 - WP_041961406.1	specific	178914	9	241	2.00007e-163	455.722	PRK00173	rph	 - 	cl03114
Q#125 - WP_040666191.1	specific	224046	11	243	3.23326e-101	298.759	COG1121	ZnuC	 - 	cl28181
Q#126 - WP_003771673.1	specific	238309	4	248	3.01885e-78	240.142	cd00553	NAD_synthase	 - 	cl00292
Q#127 - WP_003774227.1	specific	234732	1	246	6.37318e-132	376.748	PRK00346	surE	 - 	cl00448
Q#128 - WP_003772292.1	specific	234565	4	356	0	577.469	PRK00002	aroB	 - 	cl02872
Q#129 - WP_003769872.1	specific	273482	6	453	0	714.82	TIGR01173	glmU	 - 	cl28359
Q#130 - WP_040665791.1	specific	224304	1	178	3.0679e-63	197.554	COG1386	ScpB	 - 	cl00612
Q#131 - WP_003773321.1	specific	234631	4	286	7.31824e-144	410.75	PRK00098	PRK00098	 - 	cl26332
Q#132 - WP_041961452.1	specific	234723	1	261	1.31612e-160	450.284	PRK00311	panB	 - 	cl21457
Q#133 - WP_003770654.1	specific	236516	7	147	3.03727e-81	239.795	PRK09438	nudB	 - 	cl00447
Q#134 - WP_003772400.1	specific	239787	8	238	7.06735e-148	415.736	cd04254	AAK_UMPK-PyrH-Ec	 - 	cl00452
Q#135 - WP_003774593.1	specific	234586	3	429	0	611.382	PRK00037	hisS	 - 	cl28413
Q#136 - WP_040666358.1	specific	237290	1	214	2.92693e-120	344.073	PRK13146	hisH	 - 	cl00020
Q#137 - WP_041961550.1	superfamily	333138	4	559	0	872.801	cl28318	PulE superfamily	 - 	 - 
Q#138 - WP_041961464.1	specific	235406	16	414	0	678.405	PRK05321	PRK05321	 - 	cl21457
Q#139 - WP_003773081.1	specific	234851	2	258	2.08521e-122	353.637	PRK00865	PRK00865	 - 	cl00518
Q#140 - WP_041961233.1	superfamily	332398	3	565	0	581.649	cl27577	DHH superfamily	 - 	 - 
Q#141 - WP_003769676.1	specific	234617	1	427	0	864.782	PRK00077	eno	 - 	cl27211
Q#142 - WP_003774942.1	superfamily	333249	4	243	5.98145e-112	325.768	cl28429	SpoU superfamily	 - 	 - 
Q#143 - WP_041961210.1	specific	236447	1	465	0	1010.43	PRK09280	PRK09280	 - 	cl25576
Q#144 - WP_003770752.1	specific	179345	6	159	3.87068e-91	265.945	PRK01885	greB	 - 	cl27272
Q#145 - WP_040665945.1	specific	235532	3	85	5.8735e-37	122.185	PRK05610	rpsQ	 - 	cl00351
Q#146 - WP_003770905.1	superfamily	331348	2	734	0	1050.39	cl26527	ClpB_D2-small superfamily	 - 	 - 
Q#147 - WP_041961476.1	specific	234668	1	163	4.72548e-90	263.521	PRK00150	def	 - 	cl00234
Q#148 - WP_003769850.1	specific	237585	1	882	0	1370.98	PRK14015	pepN	 - 	cl28130
Q#149 - WP_041961269.1	specific	224276	254	453	6.2572e-31	120.365	COG1357	YjbI	 - 	cl26131
Q#150 - WP_003773696.1	specific	234719	6	204	4.82151e-102	297.001	PRK00300	gmk	 - 	cl17190
Q#151 - WP_003771165.1	specific	180385	3	418	0	782.419	PRK06075	PRK06075	 - 	cl27707
Q#152 - WP_003775488.1	specific	236737	7	264	0	556.778	PRK10696	PRK10696	 - 	cl28062
Q#153 - WP_003773780.1	specific	235376	1	219	2.02977e-154	431.499	PRK05254	PRK05254	 - 	cl00483
Q#154 - WP_003770280.1	specific	237860	3	795	0	1466.09	PRK14939	gyrB	 - 	cl25574
Q#155 - WP_003771958.1	superfamily	331083	13	562	7.71019e-103	325.947	cl26262	RecD superfamily	 - 	 - 
Q#156 - WP_003770446.1	superfamily	331673	4	165	2.97892e-48	157.103	cl26852	HSCB_C superfamily	 - 	 - 
Q#157 - WP_040666072.1	specific	234864	85	569	0	904.867	PRK00915	PRK00915	 - 	cl26846
Q#158 - WP_003771837.1	specific	234893	4	302	0	523.921	PRK01045	ispH	 - 	cl19123
Q#159 - WP_040665660.1	specific	235591	3	929	0	1384.81	PRK05755	PRK05755	 - 	cl27379
Q#160 - WP_040665683.1	specific	178810	1	95	4.95983e-32	110.29	PRK00034	gatC	 - 	cl00495
Q#161 - WP_003769457.1	specific	178888	1	130	3.91841e-81	238.069	PRK00132	rpsI	 - 	cl00334
Q#162 - WP_003774625.1	specific	223222	120	418	8.49975e-103	313.172	COG0144	RsmB	 - 	cl25484
Q#163 - WP_003769885.1	specific	236757	1	374	0	645.276	PRK10767	PRK10767	 - 	cl28246
Q#164 - WP_041961488.1	specific	224131	1	285	1.93732e-177	495.517	COG1210	GalU	 - 	cl11394
Q#165 - WP_041961442.1	specific	235513	1	394	0	526.242	PRK05579	PRK05579	 - 	cl27193
Q#166 - WP_003772075.1	specific	223717	9	464	1.39921e-106	328.648	COG0644	FixC	 - 	cl27554
Q#166 - WP_003772075.1	specific	310057	447	548	1.50104e-68	219.031	pfam05187	ETF_QO	 - 	cl19102
Q#167 - WP_040666439.1	specific	223155	89	360	1.69369e-122	358.463	COG0077	PheA2	 - 	cl28483
Q#167 - WP_040666439.1	superfamily	321120	9	80	1.02742e-28	107.921	cl00693	CM_2 superfamily	 - 	 - 
Q#168 - WP_040666204.1	specific	306623	36	345	3.45118e-135	391.442	pfam00146	NADHdh	 - 	cl00469
Q#169 - WP_003770227.1	specific	235535	1	292	1.5737e-138	396.404	PRK05621	PRK05621	 - 	cl00365
Q#170 - WP_003773836.1	specific	236430	11	468	0	765.818	PRK09249	PRK09249	 - 	cl28192
Q#171 - WP_040666291.1	specific	235470	1	626	0	1023.48	PRK05444	PRK05444	 - 	cl27364
Q#172 - WP_003769809.1	specific	234816	3	218	5.87394e-115	331.257	PRK00702	PRK00702	 - 	cl00339
Q#173 - WP_041961540.1	specific	234804	1	787	0	1099.45	PRK00629	pheT	 - 	cl27294
Q#174 - WP_003774822.1	superfamily	332299	1	473	0	978.046	cl27478	tRNA-synt_1e superfamily	N	 - 
Q#175 - WP_003772896.1	superfamily	324557	1	239	4.34149e-104	305.245	cl10012	DnaQ_like_exo superfamily	 - 	 - 
Q#176 - WP_003769544.1	specific	224006	3	575	0	665.061	COG1080	PtsA	 - 	cl27021
Q#177 - WP_041961616.1	specific	235462	1	597	0	1290.38	PRK05433	PRK05433	 - 	cl27769
Q#178 - WP_041961355.1	specific	237048	2	352	0	525.02	PRK12299	obgE	 - 	cl25666
Q#179 - WP_003769423.1	superfamily	331142	2	302	2.49686e-111	328.738	cl26321	FtsX superfamily	 - 	 - 
Q#180 - WP_003775343.1	specific	180164	11	416	0	883.832	PRK05614	gltA	 - 	cl00416
Q#181 - WP_040666193.1	specific	224033	5	280	7.61105e-54	179.27	COG1108	ZnuB	 - 	cl27471
Q#182 - WP_003773356.1	specific	224216	1	638	0	714.55	COG1297	OPT	 - 	cl14607
Q#183 - WP_041961266.1	specific	235369	1	306	3.47877e-156	443.467	PRK05231	PRK05231	 - 	cl21453
Q#184 - WP_003770095.1	specific	183041	8	219	1.28973e-100	294.53	PRK11212	PRK11212	 - 	cl00756
Q#185 - WP_003775466.1	specific	224616	1	316	5.74415e-146	418.978	COG1702	PhoH	 - 	cl28592
Q#186 - WP_003771396.1	superfamily	320791	2	148	3.1242e-53	168.358	cl00163	PTS_IIA_fru superfamily	 - 	 - 
Q#187 - WP_041961243.1	specific	223220	4	297	6.18663e-78	243.435	COG0142	IspA	 - 	cl00210
Q#188 - WP_041961496.1	specific	307424	21	235	9.32049e-130	369.756	pfam01255	Prenyltransf	 - 	cl00230
Q#189 - WP_003773805.1	specific	234780	1	328	0	606.328	PRK00488	pheS	 - 	cl27322
Q#190 - WP_041961450.1	superfamily	327488	1	389	0	578.879	cl18945	AAT_I superfamily	 - 	 - 
Q#191 - WP_041961387.1	specific	235461	1	430	0	776.553	PRK05431	PRK05431	 - 	cl28419
Q#192 - WP_002641495.1	specific	178997	1	74	1.01221e-38	126.074	PRK00391	rpsR	 - 	cl00373
Q#193 - WP_003772655.1	specific	234580	5	379	6.04086e-173	491.552	PRK00025	lpxB	 - 	cl28080
Q#194 - WP_003771166.1	specific	131013	9	156	1.01096e-83	246.518	TIGR01958	nuoE_fam	 - 	cl28478
Q#195 - WP_003775334.1	specific	274369	9	114	2.72885e-30	106.497	TIGR02968	succ_dehyd_anc	 - 	cl00881
Q#196 - WP_003773670.1	specific	223354	29	455	9.65405e-126	376.928	COG0277	GlcD	 - 	cl28071
Q#197 - WP_003775006.1	specific	236988	1	297	0	510.093	PRK11805	PRK11805	 - 	cl28093
Q#198 - WP_004565723.1	specific	236405	1	569	0	1045.05	PRK09194	PRK09194	 - 	cl28418
Q#199 - WP_040666502.1	specific	272853	9	144	1.86945e-54	172.031	TIGR00011	YbaK_EbsC	 - 	cl00022
Q#200 - WP_003772218.1	specific	223162	1	252	4.23889e-111	324.166	COG0084	TatD	 - 	cl00281
Q#201 - WP_003771298.1	specific	234859	1	151	1.19853e-75	225.818	PRK00893	PRK00893	 - 	cl27375
Q#202 - WP_003771131.1	specific	234771	1	212	2.85926e-76	231.584	PRK00455	pyrE	 - 	cl00309
Q#203 - WP_003770203.1	specific	239474	29	178	1.9246e-55	175.517	cd03379	beta_CA_cladeD	 - 	cl00391
Q#204 - WP_003775685.1	specific	225364	1	345	0	605.413	COG2805	PilT	 - 	cl21455
Q#205 - WP_003773606.1	specific	234612	3	297	2.50802e-172	483.416	PRK00072	hemC	 - 	cl27576
Q#206 - WP_003770434.1	specific	131062	2	111	1.92329e-61	186.535	TIGR02007	fdx_isc	 - 	cl00159
Q#207 - WP_003769305.1	specific	235541	4	367	5.502e-150	431.861	PRK05643	PRK05643	 - 	cl27370
Q#208 - WP_040665692.1	specific	236541	1	460	0	570.14	PRK09496	trkA	 - 	cl27465
Q#209 - WP_003771617.1	superfamily	330913	30	135	4.40866e-10	54.1946	cl26092	Acetyltransf_10 superfamily	 - 	 - 
Q#210 - WP_003773682.1	specific	239516	41	175	2.8301e-53	169.208	cd03424	ADPRase_NUDT5	 - 	cl00447
Q#211 - WP_041961398.1	specific	237000	3	544	0	708.512	PRK11855	PRK11855	 - 	cl27351
Q#212 - WP_003773949.1	specific	234680	5	397	0	666.046	PRK00180	PRK00180	 - 	cl17037
Q#213 - WP_003771309.1	specific	239065	16	405	0	583.658	cd02152	OAT	 - 	cl00603
Q#214 - WP_003770565.1	specific	234572	13	471	0	867.509	PRK00012	gatA	 - 	cl18951
Q#215 - WP_040666171.1	superfamily	330395	2	160	7.86648e-77	243.47	cl25574	TOP2c superfamily	N	 - 
Q#216 - WP_003773134.1	specific	235546	1	242	3.7231e-123	353.696	PRK05653	fabG	 - 	cl27753
Q#217 - WP_003774207.1	specific	273206	22	460	0	712.273	TIGR00665	DnaB	 - 	cl27163
Q#218 - WP_041961244.1	specific	236488	1	272	0	546.188	PRK09374	rplB	 - 	cl27214
Q#219 - WP_003772084.1	superfamily	333314	28	332	1.03944e-128	376.325	cl28494	RluA superfamily	 - 	 - 
Q#220 - WP_041961451.1	specific	235502	15	897	0	1467.18	PRK05560	PRK05560	 - 	cl27672
Q#221 - WP_041961474.1	specific	236386	1	751	0	1197.02	PRK09129	PRK09129	 - 	cl26508
Q#222 - WP_003770444.1	specific	235360	1	617	0	1071.72	PRK05183	hscA	 - 	cl26953
Q#223 - WP_003772447.1	specific	309461	61	255	4.84213e-82	250.485	pfam04333	MlaA	 - 	cl01073
Q#224 - WP_003769720.1	superfamily	304622	6	79	1.22367e-35	118.37	cl22895	HTH_8 superfamily	 - 	 - 
Q#225 - WP_003773694.1	specific	234744	1	68	1.62175e-24	88.8199	PRK00392	rpoZ	 - 	cl14651
Q#226 - WP_003770369.1	superfamily	302641	25	484	1.31427e-125	378.405	cl17365	TrkH superfamily	 - 	 - 
Q#227 - WP_003774669.1	specific	197320	1	254	9.98387e-150	422.309	cd09086	ExoIII-like_AP-endo	 - 	cl00490
Q#228 - WP_003775005.1	specific	223571	1	553	0	599.585	COG0497	RecN	 - 	cl26226
Q#229 - WP_004565722.1	specific	235645	1	431	0	649.856	PRK05912	PRK05912	 - 	cl28425
Q#230 - WP_003769436.1	superfamily	333105	1	277	1.1518e-76	239.931	cl28285	LysR superfamily	 - 	 - 
Q#231 - WP_041961595.1	superfamily	327492	2	354	0	543.929	cl18962	Radical_SAM superfamily	 - 	 - 
Q#232 - WP_003772984.1	specific	187558	2	330	0	531.726	cd05247	UDP_G4E_1_SDR_e	 - 	cl25409
Q#233 - WP_003771692.1	specific	224273	37	274	4.36626e-67	212.56	COG1354	ScpA	 - 	cl00598
Q#234 - WP_040665780.1	specific	319854	10	224	1.49045e-100	294.913	cd16417	HAD_PGPase	 - 	cl21460
Q#235 - WP_003772281.1	specific	236787	3	442	0	761.983	PRK10887	glmM	 - 	cl27331
Q#236 - WP_041961255.1	specific	223686	1	262	4.28121e-76	235.837	COG0613	YciV	 - 	cl27355
Q#237 - WP_003772534.1	specific	236452	2	456	0	915.293	PRK09285	PRK09285	 - 	cl28391
Q#238 - WP_003773838.1	superfamily	333060	14	236	4.35009e-79	241.155	cl28240	Crp superfamily	 - 	 - 
