# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	4168	4506	-							NELON_RS00025	339		old_locus_tag=NELON_00030
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	4168	4506	-	WP_041961199.1	WP_041961199.1		ribonuclease P protein component			NELON_RS00025	339	112	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	4519	4653	-							NELON_RS00030	135		old_locus_tag=NELON_00035
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	4519	4653	-	WP_002214728.1	WP_002214728.1		50S ribosomal protein L34			NELON_RS00030	135	44	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	4888	6416	+							NELON_RS00035	1529		pseudo
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	4888	6416	+				chromosomal replication initiation protein DnaA			NELON_RS00035	1529		pseudo
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	6436	7539	+							NELON_RS00040	1104		old_locus_tag=NELON_00045
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	6436	7539	+	WP_003769305.1	WP_003769305.1		DNA polymerase III subunit beta			NELON_RS00040	1104	367	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	7634	7915	-							NELON_RS00045	282		old_locus_tag=NELON_00050
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	7634	7915	-	WP_003769303.1	WP_003769303.1		hypothetical protein			NELON_RS00045	282	93	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	8225	8563	-							NELON_RS00050	339		old_locus_tag=NELON_00055
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	8225	8563	-	WP_003769301.1	WP_003769301.1		transcriptional regulator			NELON_RS00050	339	112	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	8664	9272	-							NELON_RS00055	609		old_locus_tag=NELON_00060
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	8664	9272	-	WP_041961200.1	WP_041961200.1		energy transducer TonB			NELON_RS00055	609	202	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	9287	9478	-							NELON_RS00060	192		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	9287	9478	-	WP_003775770.1	WP_003775770.1		hypothetical protein			NELON_RS00060	192	63	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	9551	9778	-							NELON_RS11320	228		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	9551	9778	-	WP_003774130.1	WP_003774130.1		hypothetical protein			NELON_RS11320	228	75	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	9837	10130	+							NELON_RS00065	294		old_locus_tag=NELON_00070
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	9837	10130	+	WP_040666570.1	WP_040666570.1		hypothetical protein			NELON_RS00065	294	97	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	10899	11237	-							NELON_RS00070	339		old_locus_tag=NELON_00080
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	10899	11237	-	WP_003769301.1	WP_003769301.1		transcriptional regulator			NELON_RS00070	339	112	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	11338	11946	-							NELON_RS00075	609		old_locus_tag=NELON_00085
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	11338	11946	-	WP_041961200.1	WP_041961200.1		energy transducer TonB			NELON_RS00075	609	202	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	11961	12152	-							NELON_RS00080	192		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	11961	12152	-	WP_003775770.1	WP_003775770.1		hypothetical protein			NELON_RS00080	192	63	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	12225	12452	-							NELON_RS11325	228		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	12225	12452	-	WP_003774130.1	WP_003774130.1		hypothetical protein			NELON_RS11325	228	75	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	12379	13497	+							NELON_RS00090	1119		old_locus_tag=NELON_00095
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	12379	13497	+	WP_081456106.1	WP_081456106.1		hypothetical protein			NELON_RS00090	1119	372	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	13469	14587	+							NELON_RS00095	1119		old_locus_tag=NELON_00100
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	13469	14587	+	WP_041961201.1	WP_041961201.1		hypothetical protein			NELON_RS00095	1119	372	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	14512	15191	-							NELON_RS11330	680		partial;pseudo
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	14512	15191	-				IS5/IS1182 family transposase			NELON_RS11330	680		partial;pseudo
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	15271	16118	-							NELON_RS11335	848		pseudo
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	15271	16118	-				IS630 family transposase			NELON_RS11335	848		pseudo
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	16382	17170	-							NELON_RS00110	789		old_locus_tag=NELON_00115
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	16382	17170	-	WP_041961203.1	WP_041961203.1		inositol monophosphatase family protein			NELON_RS00110	789	262	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	17312	18031	+							NELON_RS00115	720		old_locus_tag=NELON_00120
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	17312	18031	+	WP_041961204.1	WP_041961204.1		16S rRNA (uracil(1498)-N(3))-methyltransferase			NELON_RS00115	720	239	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	18108	18995	+							NELON_RS00120	888		old_locus_tag=NELON_00125
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	18108	18995	+	WP_003774104.1	WP_003774104.1		50S ribosomal protein L11 methyltransferase			NELON_RS00120	888	295	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	19079	20110	-							NELON_RS00125	1032		old_locus_tag=NELON_00130
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	19079	20110	-	WP_003774103.1	WP_003774103.1		type I glyceraldehyde-3-phosphate dehydrogenase			NELON_RS00125	1032	343	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	20402	21217	-							NELON_RS00130	816		old_locus_tag=NELON_00135
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	20402	21217	-	WP_003774099.1	WP_003774099.1		peptide chain release factor N(5)-glutamine methyltransferase			NELON_RS00130	816	271	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	21243	23135	-							NELON_RS00135	1893		old_locus_tag=NELON_00140
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	21243	23135	-	WP_040666291.1	WP_040666291.1		1-deoxy-D-xylulose-5-phosphate synthase			NELON_RS00135	1893	630	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	23367	25502	-							NELON_RS00140	2136		old_locus_tag=NELON_00145
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	23367	25502	-	WP_041961205.1	WP_041961205.1		ATP-dependent DNA helicase DinG			NELON_RS00140	2136	711	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	25763	26233	-							NELON_RS00145	471		old_locus_tag=NELON_00150
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	25763	26233	-	WP_003770297.1	WP_003770297.1		DUF2750 domain-containing protein			NELON_RS00145	471	156	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	26325	26879	-							NELON_RS00150	555		old_locus_tag=NELON_00155
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	26325	26879	-	WP_041961206.1	WP_041961206.1		DUF615 domain-containing protein			NELON_RS00150	555	184	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	26869	27054	+							NELON_RS11340	186		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	26869	27054	+	WP_082019657.1	WP_082019657.1		hypothetical protein			NELON_RS11340	186	61	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	27132	28463	+							NELON_RS00155	1332		old_locus_tag=NELON_00160
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	27132	28463	+	WP_040665662.1	WP_040665662.1		metalloprotease PmbA			NELON_RS00155	1332	443	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	28611	29105	+							NELON_RS00160	495		old_locus_tag=NELON_00165
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	28611	29105	+	WP_003770289.1	WP_003770289.1		disulfide bond formation protein B			NELON_RS00160	495	164	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	29182	29439	+							NELON_RS00165	258		old_locus_tag=NELON_00170
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	29182	29439	+	WP_003770287.1	WP_003770287.1		hypothetical protein			NELON_RS00165	258	85	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	29940	31163	+							NELON_RS00170	1224		old_locus_tag=NELON_00175
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	29940	31163	+	WP_003770282.1	WP_003770282.1		MFS transporter			NELON_RS00170	1224	407	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	31229	33619	-							NELON_RS00175	2391		old_locus_tag=NELON_00180
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	31229	33619	-	WP_003770280.1	WP_003770280.1		DNA topoisomerase (ATP-hydrolyzing) subunit B			NELON_RS00175	2391	796	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	33951	35171	-							NELON_RS00180	1221		old_locus_tag=NELON_00185
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	33951	35171	-	WP_003770278.1	WP_003770278.1		hypothetical protein			NELON_RS00180	1221	406	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	35799	38588	-							NELON_RS00185	2790		old_locus_tag=NELON_00190
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	35799	38588	-	WP_040665660.1	WP_040665660.1		DNA polymerase I			NELON_RS00185	2790	929	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	38773	40806	+							NELON_RS00190	2034		old_locus_tag=NELON_00195
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	38773	40806	+	WP_003770274.1	WP_003770274.1		oligopeptidase A			NELON_RS00190	2034	677	
gene	tRNA	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	40929	41004	+							NELON_RS00195	76		old_locus_tag=NELON_00200
tRNA		GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	40929	41004	+				tRNA-Lys			NELON_RS00195	76		anticodon=TTT
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	41171	42385	-							NELON_RS00200	1215		old_locus_tag=NELON_00205
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	41171	42385	-	WP_003770272.1	WP_003770272.1		serine/threonine transporter SstT			NELON_RS00200	1215	404	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	42483	42845	-							NELON_RS00205	363		old_locus_tag=NELON_00210
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	42483	42845	-	WP_003770267.1	WP_003770267.1		DUF454 domain-containing protein			NELON_RS00205	363	120	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	42842	43423	-							NELON_RS00210	582		old_locus_tag=NELON_00215
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	42842	43423	-	WP_040665658.1	WP_040665658.1		DUF1415 domain-containing protein			NELON_RS00210	582	193	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	43688	44569	+							NELON_RS00215	882		old_locus_tag=NELON_00220
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	43688	44569	+	WP_040665656.1	WP_040665656.1		EamA/RhaT family transporter			NELON_RS00215	882	293	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	44733	46628	+							NELON_RS00220	1896		old_locus_tag=NELON_00225
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	44733	46628	+	WP_003770261.1	WP_003770261.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG			NELON_RS00220	1896	631	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	46741	47112	+							NELON_RS00225	372		old_locus_tag=NELON_00230
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	46741	47112	+	WP_003770259.1	WP_003770259.1		hypothetical protein			NELON_RS00225	372	123	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	47461	48006	+							NELON_RS00230	546		old_locus_tag=NELON_00235
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	47461	48006	+	WP_003770257.1	WP_003770257.1		hypothetical protein			NELON_RS00230	546	181	
gene	tRNA	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	48139	48214	-							NELON_RS00235	76		old_locus_tag=NELON_00240
tRNA		GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	48139	48214	-				tRNA-Thr			NELON_RS00235	76		anticodon=CGT
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	48354	49463	+							NELON_RS00240	1110		old_locus_tag=NELON_00245
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	48354	49463	+	WP_003770255.1	WP_003770255.1		AI-2E family transporter			NELON_RS00240	1110	369	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	49561	50088	-							NELON_RS00245	528		old_locus_tag=NELON_00250
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	49561	50088	-	WP_003770252.1	WP_003770252.1		hypothetical protein			NELON_RS00245	528	175	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	50180	51364	-							NELON_RS00250	1185		old_locus_tag=NELON_00255
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	50180	51364	-	WP_041961208.1	WP_041961208.1		ubiquinone biosynthesis protein UbiH			NELON_RS00250	1185	394	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	51650	52393	+							NELON_RS00255	744		old_locus_tag=NELON_00260
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	51650	52393	+	WP_003770246.1	WP_003770246.1		oxygen-insensitive NADPH nitroreductase			NELON_RS00255	744	247	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	52474	52845	+							NELON_RS00260	372		old_locus_tag=NELON_00265
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	52474	52845	+	WP_003770243.1	WP_003770243.1		hypothetical protein			NELON_RS00260	372	123	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	52945	53706	+							NELON_RS00265	762		old_locus_tag=NELON_00270
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	52945	53706	+	WP_003770241.1	WP_003770241.1		16S rRNA methyltransferase			NELON_RS00265	762	253	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	53736	54638	+							NELON_RS00270	903		old_locus_tag=NELON_00275
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	53736	54638	+	WP_003770238.1	WP_003770238.1		DUF4743 domain-containing protein			NELON_RS00270	903	300	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	54779	55174	-							NELON_RS00275	396		old_locus_tag=NELON_00280
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	54779	55174	-	WP_003770233.1	WP_003770233.1		META domain-containing protein			NELON_RS00275	396	131	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	55557	55982	-							NELON_RS00280	426		old_locus_tag=NELON_00285
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	55557	55982	-	WP_041961209.1	WP_041961209.1		F0F1 ATP synthase subunit epsilon			NELON_RS00280	426	141	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	55995	57392	-							NELON_RS00285	1398		old_locus_tag=NELON_00290
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	55995	57392	-	WP_041961210.1	WP_041961210.1		F0F1 ATP synthase subunit beta			NELON_RS00285	1398	465	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	57428	58306	-							NELON_RS00290	879		old_locus_tag=NELON_00295
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	57428	58306	-	WP_003770227.1	WP_003770227.1		F0F1 ATP synthase subunit gamma			NELON_RS00290	879	292	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	58329	59876	-							NELON_RS00295	1548		old_locus_tag=NELON_00300
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	58329	59876	-	WP_003770225.1	WP_003770225.1		F0F1 ATP synthase subunit alpha			NELON_RS00295	1548	515	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	59887	60435	-							NELON_RS00300	549		old_locus_tag=NELON_00305
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	59887	60435	-	WP_041961211.1	WP_041961211.1		ATP synthase F0F1 subunit delta			NELON_RS00300	549	182	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	60439	60909	-							NELON_RS00305	471		old_locus_tag=NELON_00310
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	60439	60909	-	WP_003770220.1	WP_003770220.1		F0F1 ATP synthase subunit B			NELON_RS00305	471	156	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	60983	61216	-							NELON_RS00310	234		old_locus_tag=NELON_00315
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	60983	61216	-	WP_003770218.1	WP_003770218.1		F0F1 ATP synthase subunit C			NELON_RS00310	234	77	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	61318	62190	-							NELON_RS00315	873		old_locus_tag=NELON_00320
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	61318	62190	-	WP_040665650.1	WP_040665650.1		F0F1 ATP synthase subunit A			NELON_RS00315	873	290	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	62174	62533	-							NELON_RS00320	360		old_locus_tag=NELON_00325
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	62174	62533	-	WP_041961212.1	WP_041961212.1		ATP synthase subunit I			NELON_RS00320	360	119	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	62844	63701	-							NELON_RS00325	858		old_locus_tag=NELON_00330
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	62844	63701	-	WP_041961213.1	WP_041961213.1		chromosome partitioning protein ParB			NELON_RS00325	858	285	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	63848	64507	+							NELON_RS00330	660		old_locus_tag=NELON_00335
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	63848	64507	+	WP_003770209.1	WP_003770209.1		histidine phosphatase family protein			NELON_RS00330	660	219	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	64732	65175	+							NELON_RS00335	444		old_locus_tag=NELON_00340
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	64732	65175	+	WP_003770207.1	WP_003770207.1		homoprotocatechuate degradation operon regulator HpaR			NELON_RS00335	444	147	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	65325	65789	+							NELON_RS00340	465		old_locus_tag=NELON_00345
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	65325	65789	+	WP_041961564.1	WP_041961564.1		4-hydroxyphenylacetate 3-monooxygenase, reductase component			NELON_RS00340	465	154	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	65864	66445	+							NELON_RS00345	582		old_locus_tag=NELON_00350
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	65864	66445	+	WP_003770203.1	WP_003770203.1		carbonic anhydrase			NELON_RS00345	582	193	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	66442	67053	+							NELON_RS00350	612		old_locus_tag=NELON_00355
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	66442	67053	+	WP_003770201.1	WP_003770201.1		nicotinate (nicotinamide) nucleotide adenylyltransferase			NELON_RS00350	612	203	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	67283	67711	+							NELON_RS00355	429		old_locus_tag=NELON_00360
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	67283	67711	+	WP_003770199.1	WP_003770199.1		hypothetical protein			NELON_RS00355	429	142	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	67847	69385	+							NELON_RS00360	1539		old_locus_tag=NELON_00365
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	67847	69385	+	WP_041961214.1	WP_041961214.1		murein biosynthesis integral membrane protein MurJ			NELON_RS00360	1539	512	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	69577	69924	+							NELON_RS00365	348		old_locus_tag=NELON_00370
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	69577	69924	+	WP_003770193.1	WP_003770193.1		hypothetical protein			NELON_RS00365	348	115	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	70021	70917	-							NELON_RS00370	897		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	70021	70917	-	WP_040666141.1	WP_040666141.1		transposase			NELON_RS00370	897	298	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	70821	71171	-							NELON_RS00375	351		old_locus_tag=NELON_00380
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	70821	71171	-	WP_040666144.1	WP_040666144.1		helix-turn-helix domain-containing protein			NELON_RS00375	351	116	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	71305	73512	+							NELON_RS00380	2208		old_locus_tag=NELON_00385
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	71305	73512	+	WP_003775618.1	WP_003775618.1		DNA-dependent helicase			NELON_RS00380	2208	735	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	73592	73927	+							NELON_RS00385	336		partial;pseudo;old_locus_tag=NELON_00390
